longitude,latitude,Hospital Name,Type,StreetNum,RoadName,RoadType,City Council,LocalityNa,Postcode,State
144.9717073,-37.75648198,Brunswick Private Hospital,PRIVATE,82,MORELAND,ROAD,MORELAND, ,3056,VIC
144.9875479,-37.81566205,Epworth Cliveden,PRIVATE,29-37,SIMPSON,STREET,MELBOURNE, ,3002,VIC
145.0728365,-37.99062262,Como Private Hospital,PRIVATE,152-156,COMO,PARADE,KINGSTON, ,3195,VIC
145.0483,-37.8087,Cotham Private Hospital,PRIVATE,209,COTHAM,ROAD,BOROONDARA, ,3101,VIC
145.0942,-37.8573,Delmont Private Hospital,PRIVATE,298-308,WARRIGAL,ROAD,BOROONDARA, ,3146,VIC
145.1714915,-37.78999405,Donvale Rehabilitation Hospital,PRIVATE,1119-1121,DONCASTER,ROAD,MANNINGHAM, ,3109,VIC
144.9474001,-37.7232293,Dorset Rehabilitation Centre,PRIVATE,146,DERBY,STREET,MORELAND, ,3044,VIC
144.9841,-37.8107,Epworth Freemasons,PRIVATE,166,CLARENDON,STREET,MELBOURNE, ,3002,VIC
144.9928716,-37.81765919,Epworth Richmond,PRIVATE,89,BRIDGE,ROAD,YARRA, ,3121,VIC
145.0025924,-37.91368926,Epworth Rehabilitation Brighton,PRIVATE,85-93,WILSON,STREET,BAYSIDE, ,3186,VIC
145.0546326,-37.84594303,Epworth Rehabilitation Camberwell,PRIVATE,888,TOORAK,ROAD,BOROONDARA, ,3124,VIC
144.9547628,-37.79895826,Frances Perry House,PRIVATE,20,FLEMINGTON,ROAD,MELBOURNE, ,3052,VIC
144.364398,-38.15103532,Geelong Private Hospital,PRIVATE,56-58,BELLERINE,STREET,GREATER GEELONG, ,3220,VIC
145.0309157,-37.81934502,Glenferrie Private Hospital,PRIVATE,29,HILDA,CRESCENT,BOROONDARA, ,3122,VIC
145.1208373,-37.92086339,Jessie McPherson Private Hospital,PRIVATE,246,CLAYTON,ROAD,MONASH, ,3168,VIC
144.9583,-37.7546,John Fawkner Private Hospital,PRIVATE,275,MORELAND,ROAD,MORELAND, ,3058,VIC
145.2276951,-37.84890356,Knox Private Hospital,PRIVATE,262,MOUNTAIN,HIGHWAY,KNOX, ,3152,VIC
145.00373,-37.94243117,Linacre Private Hospital,PRIVATE,12-16,LINACRE,ROAD,BAYSIDE, ,3188,VIC
145.0811181,-37.82745243,Linley Clinic,PRIVATE,25,BRYSON,STREET,BOROONDARA, ,3126,VIC
145.0608,-37.8671,Malvern Private Hospital,PRIVATE,3-9,WILTON VALE,CRESCENT,STONNINGTON, ,3145,VIC
146.4187,-38.2151,Maryvale Private Hospital,PRIVATE,286,MARYVALE,ROAD,LATROBE, ,3840,VIC
145.0031,-37.8698,Masada Private Hospital,PRIVATE,24-48,BALACLAVA,ROAD,GLEN EIRA, ,3183,VIC
142.1453,-34.1848,Mildura Health Private Hospital,PRIVATE,220-228,THIRTEENTH,STREET,MILDURA, ,3500,VIC
145.1942966,-37.81048049,Mitcham Private Hospital,PRIVATE,25-27,DONCASTER EAST,ROAD,WHITEHORSE, ,3132,VIC
145.1206,-37.9218,Monash Surgical Private Hospital,PRIVATE,252-256,CLAYTON,ROAD,MONASH, ,3168,VIC
146.8761,-36.1386,Murray Valley Private Hospital,PRIVATE,2/69,NORDSVAN,DRIVE,WODONGA, ,3690,VIC
145.0312,-37.7634,North Eastern Rehabilitation Centre,PRIVATE,134-146,FORD,STREET,BANYULE, ,3079,VIC
145.0619,-37.6913,Northpark Private Hospital,PRIVATE,10,GREENHILLS,ROAD,WHITTLESEA, ,3083,VIC
145.1701086,-38.15780753,Peninsula Private Hospital,PRIVATE,525,MCCLELLAND,DRIVE,FRANKSTON, ,3910,VIC
145.2439,-37.8114,Ringwood Private Hospital,PRIVATE,36,MT DANDENONG,ROAD,MAROONDAH, ,3135,VIC
145.4108,-36.3593,Shepparton Private Hospital,PRIVATE,20,FITZGERALD,STREET,GREATER SHEPPARTON, ,3630,VIC
145.1217,-37.9184,Sir John Monash Private Hospital,PRIVATE,212-220,CLAYTON,ROAD,MONASH, ,3168,VIC
145.1925,-37.9657,South Eastern Private Hospital,PRIVATE,313-329,PRINCES,HIGHWAY,GREATER DANDENONG, ,3174,VIC
145.2133,-37.97,St John of God Pinelodge Clinic,PRIVATE,1480-1486,HEATHERTON,ROAD,GREATER DANDENONG, ,3175,VIC
144.9844614,-37.81192888,St Vincent's Private Hospital East Melbourne,PRIVATE,159,GREY,STREET,MELBOURNE, ,3002,VIC
144.9760382,-37.80785473,St Vincent's Private Hospital Fitzroy,PRIVATE,59-61,VICTORIA,PARADE,YARRA, ,3065,VIC
144.9721367,-37.834298,Albert Road Clinic,PRIVATE,31-33,ALBERT,ROAD,PORT PHILLIP, ,3004,VIC
145.0413634,-38.22296983,The Bays Hospital - Mornington,PRIVATE,4,VALE,STREET,MORNINGTON PENINSULA, ,3931,VIC
144.3932,-38.182,The Geelong Clinic,PRIVATE,94-102,TOWNSEND,ROAD,GREATER GEELONG, ,3219,VIC
145.0445003,-37.71653676,Hyperbaric Health Wound Centre Bundoora,PRIVATE,920,PLENTY,ROAD,DAREBIN, ,3083,VIC
145.1942034,-37.8113383,Mitcham Private Hospital,PRIVATE,36,DONCASTER EAST,ROAD,WHITEHORSE, ,3132,VIC
145.0078355,-37.74680419,Panch Day Surgery Centre,PRIVATE,84-90,HOTHAM,STREET,DAREBIN, ,3072,VIC
145.3452878,-38.04527898,Casey Radiation Oncology Centre,PRIVATE,2/55,KANGAN,DRIVE,CASEY, ,3806,VIC
145.2683,-37.8555,The Melbourne Eastern Private Hospital,PRIVATE,153-159,SCORESBY,ROAD,KNOX, ,3155,VIC
145.2131,-37.9388,The Valley Private Hospital,PRIVATE,535-559,POLICE,ROAD,MONASH, ,3170,VIC
144.9972,-37.8481,The Victoria Clinic,PRIVATE,320-324,MALVERN,ROAD,STONNINGTON, ,3181,VIC
145.1621446,-37.89837421,The Victorian Rehabilitation Centre,PRIVATE,499,SPRINGVALE,ROAD,MONASH, ,3150,VIC
145.024,-37.8065,St Vincent's Private Hospital Kew,PRIVATE,5,STUDLEY,AVENUE,BOROONDARA, ,3101,VIC
146.3122,-36.3492,Wangaratta Private Hospital,PRIVATE,134-150,TEMPLETON,STREET,WANGARATTA, ,3677,VIC
145.0603,-37.7551,Warringal Private Hospital,PRIVATE,216,BURGUNDY,STREET,BANYULE, ,3084,VIC
145.1457,-37.8847,Waverley Private Hospital,PRIVATE,343-357,BLACKBURN,ROAD,MONASH, ,3149,VIC
144.885643,-37.79305693,Western Private Hospital,PRIVATE,1-9,MARION,STREET,MARIBYRNONG, ,3011,VIC
145.0228541,-37.82130969,Epworth Hawthorn,PRIVATE,46-52,BURWOOD,ROAD,BOROONDARA, ,3122,VIC
145.0079376,-37.90656151,Mandometer Brighton,PRIVATE,412-414,BAY,STREET,BAYSIDE, ,3186,VIC
144.9749984,-37.80848966,Victoria Parade Surgery Centre,PRIVATE,100,VICTORIA,PARADE,MELBOURNE, ,3002,VIC
145.0366573,-37.93305221,Bayside Endoscopy Day Hospital,PRIVATE,437-441,SOUTH,ROAD,GLEN EIRA, ,3204,VIC
145.2629574,-37.84189678,Bayswater Day Procedure and Specialist Centre,PRIVATE,664,MOUNTAIN,HIGHWAY,KNOX, ,3153,VIC
145.2169102,-37.97723278,Corymbia House Day Hospital,PRIVATE,92-94,DAVID,STREET,GREATER DANDENONG, ,3175,VIC
144.9863067,-37.81630143,East Melbourne Day Procedure Centre,PRIVATE,114-116,WELLINGTON,PARADE,MELBOURNE, ,3002,VIC
145.1331,-38.1544,Frankston Private Hospital,PRIVATE,26,FRANKSTON-FLINDERS,ROAD,FRANKSTON, ,3199,VIC
145.0624,-37.7944,Kew Endoscopy,PRIVATE,828,HIGH,STREET,BOROONDARA, ,3102,VIC
145.0077,-37.8602,Marie Stopes International East St Kilda,PRIVATE,338,DANDENONG,ROAD,PORT PHILLIP, ,3183,VIC
145.1202,-37.9214,Melbourne Endoscopy Monash Day Procedure Centre,PRIVATE,277-279,CLAYTON,ROAD,MONASH, ,3168,VIC
144.9714358,-37.8145675,Melbourne Oral and Facial Surgery,PRIVATE,63,EXHIBITION,STREET,MELBOURNE, ,3000,VIC
145.1053,-37.8681,Skin Cancer Day Surgery,PRIVATE,19,CLEVELAND,ROAD,MONASH, ,3147,VIC
145.132,-38.146,"Southern Eye Centre, Day Surgery & Laser Clinic",PRIVATE,42-44,CRANBOURNE,ROAD,FRANKSTON, ,3199,VIC
144.3662,-38.1491,Specialist Surgicentre Geelong,PRIVATE,200,MALOP,STREET,GREATER GEELONG, ,3220,VIC
145.2887737,-37.80898803,Marie Stopes International Maroondah,PRIVATE,415,DORSET,ROAD,MAROONDAH, ,3136,VIC
145.2685,-38.0315,The Hampton Park Women's Health Care Centre,PRIVATE,4,WARANA,DRIVE,CASEY, ,3976,VIC
144.8951,-37.8005,Vision Day Surgery Footscray,PRIVATE,89,PAISLEY,STREET,MARIBYRNONG, ,3011,VIC
144.8338306,-37.71966534,Keilor Private,PRIVATE,12A,KENNEDY,STREET,BRIMBANK, ,3036,VIC
144.9915302,-37.91188999,Cabrini Brighton,PRIVATE,237-243,NEW,STREET,BAYSIDE, ,3186,VIC
145.0101373,-37.8849707,Cabrini Hopetoun Rehabilitation,PRIVATE,2-6,HOPETOUN,STREET,GLEN EIRA, ,3185,VIC
145.0335587,-37.8624645,Cabrini Malvern,PRIVATE,183,WATTLETREE,ROAD,STONNINGTON, ,3144,VIC
145.008873,-37.8541202,Cabrini Prahran,PRIVATE,646-646A,HIGH,STREET,STONNINGTON, ,3181,VIC
145.0093215,-37.88552939,Cabrini Health Elsternwick Rehabilitation,PRIVATE,494-498,GLEN HUNTLY,ROAD,GLEN EIRA, ,3185,VIC
145.1195572,-37.81455357,Epworth Eastern,PRIVATE,1,ARNOLD,STREET,WHITEHORSE, ,3128,VIC
144.8853814,-37.74846709,The Essendon Private Hospital,PRIVATE,35,ROSEHILL,ROAD,MOONEE VALLEY, ,3040,VIC
145.0188302,-37.86894131,Melbourne MediBrain and MediSleep Centre,PRIVATE,631,INKERMAN,ROAD,GLEN EIRA, ,3161,VIC
144.9571,-37.799,Melbourne Private Hospital,PRIVATE,1F,ROYAL,PARADE,MELBOURNE, ,3052,VIC
143.8476,-37.5575,St John of God Ballarat Hospital,PRIVATE,101,DRUMMOND,STREET,BALLARAT, ,3350,VIC
144.2640013,-36.76207693,St John of God Bendigo Hospital,PRIVATE,133-145,LILY,STREET,GREATER BENDIGO, ,3550,VIC
145.3447,-38.0346,St John of God Berwick Hospital,PRIVATE,3,GIBB,STREET,CASEY, ,3806,VIC
144.3578138,-38.15130066,St John of God Geelong Hospital,PRIVATE,80,MYERS,STREET,GREATER GEELONG, ,3220,VIC
142.4794,-38.3712,St John of God Warrnambool Hospital,PRIVATE,136,BOTANIC,ROAD,WARRNAMBOOL, ,3280,VIC
145.1563256,-38.15296378,St John of God Frankston Rehabilitation Hospital,PRIVATE,251-265,CRANBOURNE,ROAD,FRANKSTON, ,3199,VIC
144.9985,-37.855,The Avenue Hospital,PRIVATE,40,THE AVENUE, ,STONNINGTON, ,3181,VIC
144.9996505,-37.81476267,The Melbourne Clinic,PRIVATE,130,CHURCH,STREET,YARRA, ,3121,VIC
144.2226728,-37.59918077,Ballan District Health & Care,PRIVATE,33,COWIE,STREET,MOORABOOL, ,3342,VIC
145.5700935,-36.75917026,Euroa Health Inc,PRIVATE,36,KENNEDY,STREET,STRATHBOGIE, ,3666,VIC
146.7836685,-37.9768257,Heyfield Hospital Incorporated,PRIVATE,14-16,LICOLA,ROAD,WELLINGTON, ,3858,VIC
145.1501442,-36.78100413,Nagambie HealthCare,PRIVATE,22,CHURCH,STREET,STRATHBOGIE, ,3608,VIC
145.9540862,-38.02207501,Neerim District Health Service,PRIVATE,29-39,MAIN NEERIM,ROAD,BAW BAW, ,3831,VIC
145.3143677,-38.02470988,Casey Day Procedure and Specialist Centre,PRIVATE,30-32,VERDUN,DRIVE,CASEY, ,3805,VIC
145.0439287,-38.22774301,Mornington Endoscopy,PRIVATE,350,MAIN,Street,MORNINGTON PENINSULA, ,3931,VIC
145.1330654,-38.15441802,Frankston Radiation Oncology Centre,PRIVATE,26,FRANKSTON-FLINDERS,ROAD,FRANKSTON, ,3199,VIC
145.2435164,-37.81124829,Ringwood Radiation Oncology Centre,PRIVATE,36,MT DANDENONG,ROAD,MAROONDAH, ,3135,VIC
144.968003,-37.80481219,Skin & Cancer Foundation Incorporated,PRIVATE,80,DRUMMOND,STREET,MELBOURNE, ,3053,VIC
145.343015,-38.03277705,The Victorian Cosmetic Institute,PRIVATE,1/18-24A,CLYDE,ROAD,CASEY, ,3806,VIC
144.8856565,-37.79307482,Western Radiation Oncology Centre,PRIVATE,1-9,MARION,STREET,MARIBYRNONG, ,3011,VIC
144.7007566,-37.88703673,Wyndham Clinic,PRIVATE,242A,HOPPERS,LANE,WYNDHAM, ,3030,VIC
145.0092046,-37.65005434,Epping Radiation Oncology Centre,PRIVATE,230,COOPER,STREET,WHITTLESEA, ,3076,VIC
145.1664026,-37.83628535,Forest Hill Dialysis Clinic,PRIVATE,69,MAHONEYS,ROAD,WHITEHORSE, ,3131,VIC
145.0445003,-37.71653676,La Trobe Private Hospital,PRIVATE,920,PLENTY,ROAD,DAREBIN, ,3083,VIC
143.8519851,-37.5430748,Ballarat Surgicentre,PRIVATE,5-9,WOOD,STREET,BALLARAT, ,3350,VIC
145.3452922,-38.04526109,St John of God Berwick Day Oncology Centre,PRIVATE,1/55,KANGAN,DRIVE,CASEY, ,3806,VIC
145.1345672,-38.03371391,Chelsea Heights Day Surgery & Endoscopy,PRIVATE,93,WELLS,ROAD,KINGSTON, ,3196,VIC
144.3049395,-38.19422552,Epworth Geelong,PRIVATE,1,EPWORTH,PLACE,GREATER GEELONG, ,3216,VIC
144.8325251,-37.77769001,Dr Scope,PRIVATE,493,BALLARAT,ROAD,BRIMBANK, ,3020,VIC
145.1202884,-37.92090583,Monash House Private Hospital,PRIVATE,271,CLAYTON,ROAD,MONASH, ,3168,VIC
142.4740014,-38.38062334,South West Regional Cancer Centre,PRIVATE,26,RYOT,STREET,WARRNAMBOOL, ,3280,VIC
145.1995792,-37.85856492,Vermont Private Hospital,PRIVATE,645-647,BURWOOD,HWY,WHITEHORSE, ,3133,VIC
145.0500685,-37.93540507,Holmesglen Private Hospital,PRIVATE,488-490,SOUTH,ROAD,KINGSTON, ,3189,VIC
144.9822879,-37.80928733,Epworth Freemasons,PRIVATE,320,VICTORIA,PARADE,MELBOURNE, ,3002,VIC
144.8159972,-37.76104509,Fresenius Medical Care Sunshine Dialysis Clinic,PRIVATE,147-149,FURLONG,ROAD,BRIMBANK, ,3021,VIC
144.9745636,-37.80769738,Genesis Care Radiation Oncology Centre St Vincent's Hospital Melbourne,PRIVATE,41,VICTORIA,PARADE,YARRA, ,3065,VIC
142.1429,-34.1855,Mildura Base Hospital,PRIVATE,216-240,ONTARIO,AVENUE,MILDURA, ,3500,VIC
145.0335987,-37.8623273,Genesis Care Radiation Oncology Centre - Cabrini Malvern,PRIVATE,183,WATTLETREE,ROAD,STONNINGTON, ,3144,VIC
145.0167,-37.8824,Caulfield General Medical Centre,PUBLIC,260,KOOYONG,ROAD,Glen Eira (C),CAULFIELD,3162,VIC
146.9834,-37.9612,Central Gippsland Health Service (Maffra),PUBLIC,42-48,KENT,STREET,Wellington (S),MAFFRA,3860,VIC
147.0808,-38.108,Central Gippsland Health Service (Sale),PUBLIC,155,GUTHRIDGE,PARADE,Wellington (S),SALE,3850,VIC
145.6512,-35.9165,Cobram District Health,PUBLIC,24-32,BROADWAY,STREET,Moira (S),COBRAM,3644,VIC
144.2147,-35.8003,Cohuna District Hospital,PUBLIC,144-158,KING GEORGE,STREET,Gannawarra (S),COHUNA,3568,VIC
143.5839,-38.3415,Colac Area Health,PUBLIC,12,CONNOR,STREET,Colac-Otway (S),COLAC,3250,VIC
144.9198,-37.5964,Craigieburn Health Service,PUBLIC,274-304,CRAIGIEBURN,ROAD,Hume (C),CRAIGIEBURN,3064,VIC
145.2804,-38.1132,Cranbourne Integrated Care Centre,PUBLIC,140-154,SLADEN,STREET,Casey (C),CRANBOURNE,3977,VIC
145.2185,-37.977,Dandenong Hospital,PUBLIC,135,DAVID,STREET,Greater Dandenong (C),DANDENONG,3175,VIC
144.9645,-37.7993,Royal Dental Hospital (Melbourne),PUBLIC,720,SWANSTON,STREET,Melbourne (C),CARLTON,3053,VIC
144.4325,-37.6781,Djerriwarrh Health Services (Bacchus Marsh),PUBLIC,29-35,GRANT,STREET,Moorabool (S),BACCHUS MARSH,3340,VIC
142.6315902,-36.6366547,West Wimmera Health Service (Rupanyup),PUBLIC,89-91,CROMIE,STREET,Yarriambiack (S),RUPANYUP,3388,VIC
142.9323,-37.2787,East Grampians Health Service (Ararat),PUBLIC,9-29,GIRDLESTONE,STREET,Ararat (RC),ARARAT,3377,VIC
142.7459,-37.5451,East Grampians Health Service (Willaura),PUBLIC,21,DELACOMBE,WAY,Ararat (RC),WILLAURA,3379,VIC
142.9159,-35.9802,East Wimmera Health Service (Birchip),PUBLIC,24-26,DUNCAN,STREET,Buloke (S),BIRCHIP,3483,VIC
143.3525055,-36.26923847,East Wimmera Health Service (Charlton),PUBLIC,4,LEARMONTH,STREET,Buloke (S),CHARLTON,3525,VIC
142.9764,-36.3666,East Wimmera Health Service (Donald),PUBLIC,1A,AITKEN,AVENUE,Buloke (S),DONALD,3480,VIC
143.2465,-36.6094,East Wimmera Health Service (St Arnaud),PUBLIC,52,NORTH WESTERN,ROAD,Northern Grampians (S),ST ARNAUD,3478,VIC
143.234,-36.0787,East Wimmera Health Service (Wycheproof),PUBLIC,19,GRANDVIEW,STREET,Buloke (S),WYCHEPROOF,3527,VIC
144.7486,-36.1382,Echuca Regional Health,PUBLIC,226,SERVICE,STREET,Campaspe (S),ECHUCA,3564,VIC
141.2891,-37.0352,Edenhope & District Hospital,PUBLIC,124-134,ELIZABETH,STREET,West Wimmera (S),EDENHOPE,3318,VIC
145.1293,-38.1509,Frankston Hospital,PUBLIC,2,HASTINGS,ROAD,Frankston (C),FRANKSTON,3199,VIC
145.8285,-38.4304,Gippsland Southern Health Service (Korumburra),PUBLIC,65-77,BRIDGE,STREET,South Gippsland (S),KORUMBURRA,3950,VIC
145.9501,-38.4873,Gippsland Southern Health Service (Leongatha),PUBLIC,64,KOONWARRA,ROAD,South Gippsland (S),LEONGATHA,3953,VIC
145.4042,-36.3631,Shepparton Hospital,PUBLIC,2-48,GRAHAM,STREET,Greater Shepparton (C),SHEPPARTON,3630,VIC
145.2253,-36.4393,Tatura Public Hospital,PUBLIC,64-68,PARK,STREET,Greater Shepparton (C),TATURA,3616,VIC
145.0085,-36.5879,Waranga Memorial Hospital,PUBLIC,14,COYLE,STREET,Campaspe (S),RUSHWORTH,3612,VIC
145.7161,-37.1953,Alexandra District Hospital,PUBLIC,12,COOPER,STREET,Murrindindi (S),ALEXANDRA,3714,VIC
146.9661,-36.733,Alpine Health (Bright),PUBLIC,36-42,COBDEN,STREET,Alpine (S),BRIGHT,3741,VIC
147.1694,-36.7433,Alpine Health (Mount Beauty),PUBLIC,2-8,HOLLONDS,STREET,Alpine (S),MOUNT BEAUTY,3699,VIC
146.7291,-36.5544,Alpine Health (Myrtleford),PUBLIC,30-32,ODONNELL,AVENUE,Alpine (S),MYRTLEFORD,3737,VIC
145.3136,-37.8987,Angliss Hospital,PUBLIC,39,ALBERT,STREET,Knox (C),UPPER FERNTREE GULLY,3156,VIC
145.0604,-37.7565,Austin Hospital,PUBLIC,145,STUDLEY,ROAD,Banyule (C),HEIDELBERG,3084,VIC
145.0474,-37.7561,Heidelberg Repatriation Hospital,PUBLIC,300,WATERDALE,ROAD,Banyule (C),HEIDELBERG HEIGHTS,3081,VIC
147.6083,-37.8317,Bairnsdale Regional Health Service,PUBLIC,122,DAY,STREET,East Gippsland (S),BAIRNSDALE,3875,VIC
143.8474,-37.5587,Ballarat Hospital,PUBLIC,1,DRUMMOND,STREET,Ballarat (C),BALLARAT CENTRAL,3350,VIC
